date_mmm_yy,population_group,actively_homeless
Jan-18,Youth,924
Feb-18,Youth,893
Mar-18,Youth,905
Apr-18,Youth,909
May-18,Youth,921
Jun-18,Youth,950
Jul-18,Youth,953
Aug-18,Youth,934
Sep-18,Youth,886
Oct-18,Youth,902
Nov-18,Youth,903
Dec-18,Youth,906
Jan-19,Youth,950
Feb-19,Youth,935
Mar-19,Youth,945
Apr-19,Youth,951
May-19,Youth,950
Jun-19,Youth,998
Jul-19,Youth,984
Aug-19,Youth,961
Sep-19,Youth,989
Oct-19,Youth,975
Nov-19,Youth,957
Dec-19,Youth,983
Jan-20,Youth,987
Feb-20,Youth,957
Mar-20,Youth,905
Apr-20,Youth,828
May-20,Youth,769
Jun-20,Youth,701
Jul-20,Youth,693
Aug-20,Youth,697
Sep-20,Youth,713
Oct-20,Youth,720
Nov-20,Youth,714
Dec-20,Youth,729
Jan-21,Youth,752
Feb-21,Youth,743
Mar-21,Youth,735
Apr-21,Youth,771
May-21,Youth,769
Jun-21,Youth,826
Jul-21,Youth,829
Aug-21,Youth,823
Sep-21,Youth,842
Oct-21,Youth,861
Nov-21,Youth,855
Dec-21,Youth,850
Jan-22,Youth,851
Feb-22,Youth,882
Mar-22,Youth,913
Apr-22,Youth,908
May-22,Youth,907
Jun-22,Youth,932
Jul-22,Youth,899
Aug-22,Youth,904
Sep-22,Youth,914
Oct-22,Youth,889
Nov-22,Youth,889
Dec-22,Youth,936
Jan-23,Youth,959
Feb-23,Youth,963
Mar-23,Youth,971
Apr-23,Youth,986
May-23,Youth,1015
Jun-23,Youth,1033
Jul-23,Youth,1029
Aug-23,Youth,1011
Sep-23,Youth,1039
Oct-23,Youth,1023
Nov-23,Youth,1052
Dec-23,Youth,1079
